"","poll.end.date","poll.source","party","variable","value"
"238","10-May-11","Nielsen","OTH","National","4"
"239","10-May-11","Nielsen","ALP","National","28"
"240","10-May-11","Nielsen","COAL","National","49"
"241","10-May-11","Nielsen","IND","National","5"
"242","10-May-11","Nielsen","FFP","National","3"
"243","10-May-11","Nielsen","GRN","National","12"
"244","16-Apr-11","Nielsen","OTH","National","3"
"245","16-Apr-11","Nielsen","ALP","National","31"
"246","16-Apr-11","Nielsen","COAL","National","47"
"247","16-Apr-11","Nielsen","IND","National","6"
"248","16-Apr-11","Nielsen","FFP","National","2"
"249","16-Apr-11","Nielsen","GRN","National","12"
"250","31-Mar-11","Newspoll","OTH","National","11"
"251","31-Mar-11","Newspoll","ALP","National","34"
"252","31-Mar-11","Newspoll","COAL","National","42"
"253","31-Mar-11","Newspoll","GRN","National","13"
"254","12-Mar-11","Nielsen","OTH","National","3"
"255","12-Mar-11","Nielsen","ALP","National","33"
"256","12-Mar-11","Nielsen","COAL","National","45"
"257","12-Mar-11","Nielsen","IND","National","5"
"258","12-Mar-11","Nielsen","FFP","National","2"
"259","12-Mar-11","Nielsen","GRN","National","12"
"260","12-Feb-11","Nielsen","OTH","National","3"
"261","12-Feb-11","Nielsen","ALP","National","32"
"262","12-Feb-11","Nielsen","COAL","National","46"
"263","12-Feb-11","Nielsen","IND","National","4"
"264","12-Feb-11","Nielsen","FFP","National","2"
"265","12-Feb-11","Nielsen","GRN","National","12"
"266","31-Dec-10","Newspoll","OTH","National","10"
"267","31-Dec-10","Newspoll","ALP","National","34"
"268","31-Dec-10","Newspoll","COAL","National","42"
"269","31-Dec-10","Newspoll","GRN","National","14"
"270","20-Nov-10","Nielsen","OTH","National","3"
"271","20-Nov-10","Nielsen","ALP","National","35"
"272","20-Nov-10","Nielsen","GRN","National","13"
"273","20-Nov-10","Nielsen","COAL","National","43"
"274","20-Nov-10","Nielsen","IND","National","4"
"275","20-Nov-10","Nielsen","FFP","National","1"
"276","23-Oct-10","Nielsen","OTH","National","2"
"277","23-Oct-10","Nielsen","ALP","National","34"
"278","23-Oct-10","Nielsen","GRN","National","14"
"279","23-Oct-10","Nielsen","COAL","National","43"
"280","23-Oct-10","Nielsen","IND","National","4"
"281","23-Oct-10","Nielsen","FFP","National","2"
"282","19-Aug-10","Nielsen","GRN","National","13"
"283","19-Aug-10","Nielsen","ALP","National","39"
"284","19-Aug-10","Nielsen","COAL","National","41.5"
"285","19-Aug-10","Nielsen","DEM","National","1"
"286","19-Aug-10","Nielsen","GRN","National","13"
"287","19-Aug-10","Nielsen","IND","National","2"
"288","19-Aug-10","Nielsen","FFP","National","1.5"
"289","19-Aug-10","Nielsen","OTH","National","2"
"290","15-Aug-10","Newspoll","ALP","National","38"
"291","15-Aug-10","Newspoll","GRN","National","14"
"292","15-Aug-10","Newspoll","COAL","National","42"
"293","12-Aug-10","Nielsen","GRN","National","12"
"294","08-Aug-10","Newspoll","ALP","National","38"
"295","08-Aug-10","Newspoll","GRN","National","12"
"296","08-Aug-10","Newspoll","COAL","National","43"
"297","05-Aug-10","Nielsen","GRN","National","13"
"298","05-Aug-10","Nielsen","ALP","National","36"
"299","05-Aug-10","Nielsen","COAL","National","44"
"300","05-Aug-10","Nielsen","IND","National","2"
"301","05-Aug-10","Nielsen","FFP","National","1"
"302","05-Aug-10","Nielsen","OTH","National","3"
"303","01-Aug-10","Newspoll","ALP","National","39"
"304","01-Aug-10","Newspoll","GRN","National","12"
"305","01-Aug-10","Newspoll","COAL","National","43"
"306","29-Jul-10","Nielsen","ALP","National","36"
"307","29-Jul-10","Nielsen","COAL","National","45"
"308","29-Jul-10","Nielsen","GRN","National","12"
"309","29-Jul-10","Nielsen","IND","National","3"
"310","29-Jul-10","Nielsen","FFP","National","1"
"311","29-Jul-10","Nielsen","OTH","National","2"
"312","22-Jul-10","Nielsen","GRN","National","12"
"313","22-Jul-10","Nielsen","ALP","National","42"
"314","22-Jul-10","Nielsen","COAL","National","41"
"315","22-Jul-10","Nielsen","IND","National","3"
"316","22-Jul-10","Nielsen","FFP","National","1"
"317","22-Jul-10","Nielsen","OTH","National","1"
"318","10-Jul-10","Nielsen","GRN","National","13"
"319","30-Jun-10","Newspoll","OTH","National","9"
"320","30-Jun-10","Newspoll","ALP","National","37"
"321","30-Jun-10","Newspoll","GRN","National","13"
"322","30-Jun-10","Newspoll","COAL","National","41"
"323","25-Jun-10","Nielsen","GRN","National","8"
"324","25-Jun-10","Nielsen","ALP","National","47"
"325","25-Jun-10","Nielsen","COAL","National","42"
"326","25-Jun-10","Nielsen","IND","National","2"
"327","25-Jun-10","Nielsen","FFP","National","1"
"328","25-Jun-10","Nielsen","OTH","National","1"
"329","25-Jun-10","Nielsen","ALP","National","47"
"330","25-Jun-10","Nielsen","COAL","National","42"
"331","25-Jun-10","Nielsen","GRN","National","8"
"332","25-Jun-10","Nielsen","IND","National","2"
"333","25-Jun-10","Nielsen","FFP","National","1"
"334","25-Jun-10","Nielsen","OTH","National","1"
"335","05-Jun-10","Nielsen","GRN","National","15"
"336","08-May-10","Nielsen","GRN","National","13"
"337","17-Apr-10","Nielsen","GRN","National","12"
"338","17-Apr-10","Nielsen","ALP","National","39"
"339","17-Apr-10","Nielsen","COAL","National","42"
"340","17-Apr-10","Nielsen","IND","National","3"
"341","17-Apr-10","Nielsen","FFP","National","1"
"342","17-Apr-10","Nielsen","OTH","National","3"
"343","31-Mar-10","Newspoll","ALP","National","40"
"344","31-Mar-10","Newspoll","OTH","National","9"
"345","31-Mar-10","Newspoll","ALP","National","40"
"346","31-Mar-10","Newspoll","GRN","National","11"
"347","31-Mar-10","Newspoll","GRN","National","11"
"348","31-Mar-10","Newspoll","COAL","National","40"
"349","31-Mar-10","Newspoll","COAL","National","40"
"350","06-Mar-10","Nielsen","GRN","National","9"
"351","06-Feb-10","Nielsen","GRN","National","10"
"352","06-Feb-10","Nielsen","ALP","National","42"
"353","06-Feb-10","Nielsen","COAL","National","41"
"354","06-Feb-10","Nielsen","IND","National","3"
"355","06-Feb-10","Nielsen","FFP","National","2"
"356","06-Feb-10","Nielsen","OTH","National","3"
"357","31-Dec-09","Newspoll","ALP","National","45"
"358","31-Dec-09","Newspoll","GRN","National","11"
"359","31-Dec-09","Newspoll","OTH","National","8"
"360","31-Dec-09","Newspoll","COAL","National","36"
"361","28-Nov-09","Nielsen","ALP","National","42"
"362","28-Nov-09","Nielsen","COAL","National","37"
"363","28-Nov-09","Nielsen","GRN","National","13"
"364","28-Nov-09","Nielsen","IND","National","4"
"365","28-Nov-09","Nielsen","FFP","National","2"
"366","28-Nov-09","Nielsen","OTH","National","3"
"367","07-Nov-09","Nielsen","ALP","National","45"
"368","07-Nov-09","Nielsen","COAL","National","38"
"369","07-Nov-09","Nielsen","GRN","National","9"
"370","07-Nov-09","Nielsen","IND","National","2"
"371","07-Nov-09","Nielsen","FFP","National","2"
"372","07-Nov-09","Nielsen","OTH","National","3"
"373","10-Oct-09","Nielsen","ALP","National","46"
"374","10-Oct-09","Nielsen","COAL","National","37"
"375","10-Oct-09","Nielsen","GRN","National","10"
"376","10-Oct-09","Nielsen","IND","National","3"
"377","10-Oct-09","Nielsen","FFP","National","1"
"378","10-Oct-09","Nielsen","OTH","National","3"
"379","30-Sep-09","Newspoll","ALP","National","44"
"380","30-Sep-09","Newspoll","GRN","National","10"
"381","30-Sep-09","Newspoll","OTH","National","8"
"382","30-Sep-09","Newspoll","COAL","National","38"
"383","12-Sep-09","Nielsen","ALP","National","44"
"384","12-Sep-09","Nielsen","COAL","National","40"
"385","12-Sep-09","Nielsen","GRN","National","8"
"386","12-Sep-09","Nielsen","IND","National","4"
"387","12-Sep-09","Nielsen","FFP","National","2"
"388","12-Sep-09","Nielsen","OTH","National","3"
"389","15-Aug-09","Nielsen","ALP","National","46"
"390","15-Aug-09","Nielsen","COAL","National","38"
"391","15-Aug-09","Nielsen","GRN","National","8"
"392","15-Aug-09","Nielsen","IND","National","3"
"393","15-Aug-09","Nielsen","FFP","National","2"
"394","15-Aug-09","Nielsen","OTH","National","3"
"395","30-Jun-09","Newspoll","ALP","National","45"
"396","30-Jun-09","Newspoll","GRN","National","10"
"397","30-Jun-09","Newspoll","OTH","National","8"
"398","30-Jun-09","Newspoll","COAL","National","37"
"399","27-Jun-09","Nielsen","ALP","National","46"
"400","27-Jun-09","Nielsen","COAL","National","37"
"401","27-Jun-09","Nielsen","GRN","National","10"
"402","27-Jun-09","Nielsen","IND","National","3"
"403","27-Jun-09","Nielsen","FFP","National","2"
"404","27-Jun-09","Nielsen","OTH","National","2"
"405","16-May-09","Nielsen","ALP","National","44"
"406","16-May-09","Nielsen","COAL","National","43"
"407","16-May-09","Nielsen","GRN","National","8"
"408","16-May-09","Nielsen","IND","National","2"
"409","16-May-09","Nielsen","FFP","National","1"
"410","16-May-09","Nielsen","OTH","National","2"
"411","31-Mar-09","Newspoll","ALP","National","45"
"412","31-Mar-09","Newspoll","GRN","National","9"
"413","31-Mar-09","Newspoll","OTH","National","9"
"414","31-Mar-09","Newspoll","COAL","National","37"
"415","27-Mar-09","Nielsen","ALP","National","47"
"416","27-Mar-09","Nielsen","COAL","National","37"
"417","27-Mar-09","Nielsen","GRN","National","10"
"418","27-Mar-09","Nielsen","IND","National","2"
"419","27-Mar-09","Nielsen","FFP","National","1"
"420","27-Mar-09","Nielsen","OTH","National","3"
"421","31-Dec-08","Newspoll","ALP","National","44"
"422","31-Dec-08","Newspoll","GRN","National","10"
"423","31-Dec-08","Newspoll","OTH","National","8"
"424","31-Dec-08","Newspoll","COAL","National","38"
"425","15-Nov-08","Nielsen","ALP","National","45"
"426","15-Nov-08","Nielsen","COAL","National","39"
"427","15-Nov-08","Nielsen","GRN","National","10"
"428","15-Nov-08","Nielsen","IND","National","2"
"429","15-Nov-08","Nielsen","FFP","National","1"
"430","15-Nov-08","Nielsen","OTH","National","3"
"431","18-Oct-08","Nielsen","ALP","National","46"
"432","18-Oct-08","Nielsen","COAL","National","39"
"433","18-Oct-08","Nielsen","GRN","National","9"
"434","18-Oct-08","Nielsen","IND","National","3"
"435","18-Oct-08","Nielsen","FFP","National","1"
"436","18-Oct-08","Nielsen","OTH","National","3"
"437","30-Sep-08","Newspoll","ALP","National","45"
"438","30-Sep-08","Newspoll","GRN","National","10"
"439","30-Sep-08","Newspoll","OTH","National","8"
"440","30-Sep-08","Newspoll","COAL","National","37"
"441","20-Sep-08","Nielsen","ALP","National","41"
"442","20-Sep-08","Nielsen","COAL","National","42"
"443","20-Sep-08","Nielsen","GRN","National","9"
"444","20-Sep-08","Nielsen","IND","National","3"
"445","20-Sep-08","Nielsen","FFP","National","2"
"446","20-Sep-08","Nielsen","OTH","National","2"
"447","30-Jun-08","Newspoll","ALP","National","47"
"448","30-Jun-08","Newspoll","GRN","National","10"
"449","30-Jun-08","Newspoll","OTH","National","7"
"450","30-Jun-08","Newspoll","COAL","National","36"
"451","14-Jun-08","Nielsen","ALP","National","44"
"452","14-Jun-08","Nielsen","COAL","National","38"
"453","14-Jun-08","Nielsen","GRN","National","10"
"454","14-Jun-08","Nielsen","IND","National","3"
"455","14-Jun-08","Nielsen","FFP","National","2"
"456","14-Jun-08","Nielsen","OTH","National","3"
"457","17-May-08","Nielsen","ALP","National","46"
"458","17-May-08","Nielsen","COAL","National","38"
"459","17-May-08","Nielsen","GRN","National","8"
"460","17-May-08","Nielsen","IND","National","2"
"461","17-May-08","Nielsen","FFP","National","2"
"462","17-May-08","Nielsen","OTH","National","3"
"463","30-Mar-08","Newspoll","ALP","National","48"
"464","30-Mar-08","Newspoll","GRN","National","11"
"465","30-Mar-08","Newspoll","OTH","National","7"
"466","30-Mar-08","Newspoll","COAL","National","34"
"467","18-Nov-07","Newspoll","ALP","National","47"
"468","18-Nov-07","Newspoll","GRN","National","7"
"469","18-Nov-07","Newspoll","OTH","National","6"
"470","18-Nov-07","Newspoll","COAL","National","40"
"471","11-Nov-07","Newspoll","ALP","National","47"
"472","11-Nov-07","Newspoll","GRN","National","6"
"473","11-Nov-07","Newspoll","OTH","National","5"
"474","11-Nov-07","Newspoll","COAL","National","42"
"475","04-Nov-07","Newspoll","ALP","National","47"
"476","04-Nov-07","Newspoll","GRN","National","5"
"477","04-Nov-07","Newspoll","OTH","National","6"
"478","04-Nov-07","Newspoll","COAL","National","42"
"479","28-Oct-07","Newspoll","ALP","National","49"
"480","28-Oct-07","Newspoll","GRN","National","5"
"481","28-Oct-07","Newspoll","OTH","National","6"
"482","28-Oct-07","Newspoll","COAL","National","40"
"483","30-Sep-07","Newspoll","ALP","National","48"
"484","30-Sep-07","Newspoll","GRN","National","4"
"485","30-Sep-07","Newspoll","OTH","National","9"
"486","30-Sep-07","Newspoll","COAL","National","39"
"487","08-Sep-07","Nielsen","ALP","National","49"
"488","08-Sep-07","Nielsen","COAL","National","39"
"489","08-Sep-07","Nielsen","GRN","National","7"
"490","08-Sep-07","Nielsen","IND","National","2"
"491","08-Sep-07","Nielsen","FFP","National","1"
"492","08-Sep-07","Nielsen","OTH","National","2"
"493","30-Jul-07","Newspoll","ALP","National","49"
"494","30-Jul-07","Newspoll","GRN","National","4"
"495","30-Jul-07","Newspoll","OTH","National","10"
"496","30-Jul-07","Newspoll","COAL","National","37"
"497","31-Mar-07","Newspoll","ALP","National","48"
"498","31-Mar-07","Newspoll","GRN","National","5"
"499","31-Mar-07","Newspoll","OTH","National","9"
"500","31-Mar-07","Newspoll","COAL","National","38"
"501","30-Nov-06","Newspoll","ALP","National","39"
"502","30-Nov-06","Newspoll","GRN","National","8"
"503","30-Nov-06","Newspoll","OTH","National","12"
"504","30-Nov-06","Newspoll","COAL","National","41"
"505","30-Sep-06","Newspoll","ALP","National","41"
"506","30-Sep-06","Newspoll","GRN","National","6"
"507","30-Sep-06","Newspoll","OTH","National","11"
"508","30-Sep-06","Newspoll","COAL","National","42"
"509","30-Jun-06","Newspoll","COAL","National","42"
"510","30-Jun-06","Newspoll","ALP","National","38"
"511","30-Jun-06","Newspoll","GRN","National","7"
"512","30-Jun-06","Newspoll","OTH","National","13"
"513","31-Mar-06","Newspoll","COAL","National","43"
"514","31-Mar-06","Newspoll","ALP","National","38"
"515","31-Mar-06","Newspoll","GRN","National","6"
"516","31-Mar-06","Newspoll","OTH","National","13"
"517","31-Dec-05","Newspoll","COAL","National","40"
"518","31-Dec-05","Newspoll","ALP","National","40"
"519","31-Dec-05","Newspoll","GRN","National","7"
"520","31-Dec-05","Newspoll","OTH","National","13"
"521","30-Sep-05","Newspoll","COAL","National","43"
"522","30-Sep-05","Newspoll","ALP","National","39"
"523","30-Sep-05","Newspoll","GRN","National","6"
"524","30-Sep-05","Newspoll","OTH","National","12"
"525","30-Jun-05","Newspoll","COAL","National","45"
"526","30-Jun-05","Newspoll","ALP","National","39"
"527","30-Jun-05","Newspoll","GRN","National","5"
"528","30-Jun-05","Newspoll","OTH","National","11"
"529","31-Mar-05","Newspoll","COAL","National","47"
"530","31-Mar-05","Newspoll","ALP","National","37"
