"","poll.end.date","poll.source","party","national","new.south.wales","victoria","queensland","south.australia.nt","western.australia","capitals","others","male","female","x18.24","x25.39","x40.54","x55.","x18.34","x35.49","x50."
"144","30-Jun-12","Nielsen","ALP",28,"26",30,22,34,28,28,27,28,28,28,26,26,"31",NA,NA,NA
"145","30-Jun-12","Nielsen","GRN",12,"12",12,9,16,9,13,9,10,14,23,13,11,"7",NA,NA,NA
"146","30-Jun-12","Nielsen","OTH",4,"4",5,3,3,7,4,5,6,3,7,6,4,"2",NA,NA,NA
"147","30-Jun-12","Newspoll","ALP",30,"29",34,22,33,32,30,28,28,31,NA,NA,NA,"",30,28,31
"148","30-Jun-12","Newspoll","GRN",12,"12",15,11,10,11,14,10,11,14,NA,NA,NA,"",17,13,8
"149","30-Jun-12","Newspoll","OTH",11,"12",9,13,12,9,10,13,12,11,NA,NA,NA,"",12,13,10
"150","02-Jun-12","Nielsen","IND",6,"7",5,6,5,5,5,8,4,8,2,7,8,"6",NA,NA,NA
"151","02-Jun-12","Nielsen","FFP",2,"1",2,2,5,4,2,1,2,2,5,2,3,"1",NA,NA,NA
"152","02-Jun-12","Nielsen","COAL",48,"49",41,54,49,51,47,48,50,46,39,48,50,"53",NA,NA,NA
"153","02-Jun-12","Nielsen","ALP",26,"25",31,24,32,19,27,26,27,26,28,23,25,"30",NA,NA,NA
"154","02-Jun-12","Nielsen","GRN",14,"14",16,11,9,16,15,12,13,15,23,16,16,"7",NA,NA,NA
"155","02-Jun-12","Nielsen","OTH",4,"4",4,3,0,6,3,4,5,3,4,5,4,"4",NA,NA,NA
"156","31-Mar-12","Nielsen","IND",6,"8",6,7,3,3,6,8,8,5,6,7,7,"5",NA,NA,NA
"157","31-Mar-12","Nielsen","FFP",2,"1",2,3,4,3,2,2,3,2,4,4,1,"1",NA,NA,NA
"158","31-Mar-12","Nielsen","COAL",47,"49",40,53,43,53,45,50,50,45,36,42,45,"58",NA,NA,NA
"159","31-Mar-12","Newspoll","COAL",45,"45",44,47,39,48,44,46,46,43,NA,NA,NA,"",37,45,50
"160","31-Mar-12","Nielsen","ALP",27,"26",32,22,35,25,30,23,24,31,29,27,28,"27",NA,NA,NA
"161","31-Mar-12","Nielsen","GRN",13,"12",16,10,12,14,13,12,12,14,18,14,15,"8",NA,NA,NA
"162","31-Mar-12","Nielsen","OTH",4,"4",4,5,3,3,4,5,4,4,7,5,5,"1",NA,NA,NA
"163","31-Mar-12","Newspoll","ALP",32,"31",34,30,34,31,32,32,30,34,NA,NA,NA,"",33,31,32
"164","31-Mar-12","Newspoll","GRN",11,"11",13,9,11,10,13,9,11,12,NA,NA,NA,"",17,13,6
"165","31-Mar-12","Newspoll","OTH",12,"13",9,14,16,11,11,13,13,11,NA,NA,NA,"",13,11,12
"166","23-Feb-12","Nielsen","IND",6,"7",4,9,6,4,4,8,7,5,6,5,7,"6",NA,NA,NA
"167","23-Feb-12","Nielsen","FFP",2,"1",3,3,4,1,1,3,1,2,3,2,3,"1",NA,NA,NA
"168","23-Feb-12","Nielsen","COAL",44,"42",45,42,48,51,45,43,44,44,30,42,45,"51",NA,NA,NA
"169","23-Feb-12","Nielsen","OTH",3,"3",2,5,2,1,2,3,2,3,3,3,3,"2",NA,NA,NA
"170","23-Feb-12","Nielsen","ALP",34,"35",31,31,34,34,34,32,33,34,40,32,31,"34",NA,NA,NA
"171","23-Feb-12","Nielsen","GRN",12,"13",15,11,7,7,13,10,12,12,19,16,11,"6",NA,NA,NA
"172","02-Feb-12","Nielsen","IND",5,"8",3,6,3,3,4,7,5,5,2,6,5,"6",NA,NA,NA
"173","02-Feb-12","Nielsen","FFP",1,"1",1,2,1,3,2,1,1,1,1,2,1,"1",NA,NA,NA
"174","02-Feb-12","Nielsen","COAL",45,"46",39,50,44,50,44,46,45,45,40,39,46,"50",NA,NA,NA
"175","02-Feb-12","Nielsen","OTH",3,"2",2,3,6,3,2,3,3,2,1,4,3,"1",NA,NA,NA
"176","02-Feb-12","Nielsen","ALP",33,"33",37,27,34,31,34,31,32,34,37,29,35,"33",NA,NA,NA
"177","02-Feb-12","Nielsen","GRN",13,"11",18,12,12,11,14,12,13,13,19,19,10,"9",NA,NA,NA
"178","31-Dec-11","Newspoll","COAL",46,"48",44,48,40,49,46,47,49,43,NA,NA,NA,"",41,43,52
"179","31-Dec-11","Newspoll","OTH",11,"11",8,14,16,9,10,14,12,11,NA,NA,NA,"",10,13,11
"180","31-Dec-11","Newspoll","ALP",31,"28",35,29,33,29,31,29,29,32,NA,NA,NA,"",29,31,31
"181","31-Dec-11","Newspoll","GRN",12,"13",13,9,11,13,13,10,10,14,NA,NA,NA,"",20,13,6
"182","10-Dec-11","Nielsen","IND",5,"6",4,6,8,5,3,8,6,5,3,7,6,"5",NA,NA,NA
"183","10-Dec-11","Nielsen","FFP",2,"1",3,2,3,1,2,2,3,1,3,2,3,"<0.5",NA,NA,NA
"184","10-Dec-11","Nielsen","COAL",49,"49",44,49,47,55,48,49,51,46,40,43,47,"58",NA,NA,NA
"185","10-Dec-11","Nielsen","OTH",4,"5",3,5,4,4,4,5,4,5,6,5,3,"3",NA,NA,NA
"186","10-Dec-11","Nielsen","ALP",29,"28",32,31,29,25,31,26,28,31,31,30,30,"28",NA,NA,NA
"187","10-Dec-11","Nielsen","GRN",11,"11",14,7,9,9,11,9,9,12,16,13,12,"5",NA,NA,NA
"188","12-Nov-11","Nielsen","IND",6,"6",4,6,8,6,4,8,8,3,3,7,6,"5",NA,NA,NA
"189","12-Nov-11","Nielsen","FFP",2,"1",1,2,5,2,1,2,1,2,1,3,2,"1",NA,NA,NA
"190","12-Nov-11","Nielsen","COAL",45,"45",44,48,37,48,45,45,45,46,29,44,46,"52",NA,NA,NA
"191","12-Nov-11","Nielsen","OTH",4,"4",6,6,2,2,3,5,5,4,7,6,4,"2",NA,NA,NA
"192","12-Nov-11","Nielsen","ALP",30,"29",29,31,37,26,30,29,28,31,35,25,31,"31",NA,NA,NA
"193","12-Nov-11","Nielsen","GRN",14,"14",16,8,11,16,16,10,13,14,27,16,10,"10",NA,NA,NA
"194","15-Oct-11","Nielsen","IND",5,"5",3,7,8,5,5,7,5,6,5,5,6,"6",NA,NA,NA
"195","15-Oct-11","Nielsen","FFP",1,"1",1,3,3,0,1,2,2,1,2,2,1,"1",NA,NA,NA
"196","15-Oct-11","Nielsen","COAL",48,"45",47,53,41,54,45,51,48,48,39,44,48,"54",NA,NA,NA
"197","15-Oct-11","Nielsen","OTH",4,"5",5,3,3,4,4,4,5,3,5,7,2,"3",NA,NA,NA
"198","15-Oct-11","Nielsen","ALP",30,"32",34,26,32,23,31,27,29,31,32,27,31,"30",NA,NA,NA
"199","15-Oct-11","Nielsen","GRN",12,"12",11,8,14,13,13,9,12,11,17,15,12,"6",NA,NA,NA
"200","30-Sep-11","Newspoll","COAL",48,"50",44,50,43,50,46,52,50,46,NA,NA,NA,"",41,46,54
