"","poll.end.date","poll.source","liberal","national","coalition","alp","greens","palmer.united","family.first","democrats","pauline.hanson.one.nation","others","coalition.2pp","labor.2pp","satisfied.pm","dissatisfied.pm","satisfied.loto","dissatisfied.loto","prime.minister.ppm","opposition.leader..ppm.","prime.minister","opposition.leader"
"69",2013-10-15,"Essential",41,2,43,35,10,NA,NA,NA,NA,12,52,48,NA,NA,NA,NA,NA,NA,"MR TONY ABBOTT","MR BILL SHORTEN"
"70",2013-10-10,"ReachTEL",41.1,4.3,45.4,35.3,8.6,5.7,NA,NA,NA,4.9,52,48,NA,NA,NA,NA,NA,NA,"MR TONY ABBOTT","MR BILL SHORTEN"
"71",2013-10-08,"Essential",40,3,43,35,9,NA,NA,NA,NA,12,52,48,NA,NA,NA,NA,NA,NA,"MR TONY ABBOTT","MR BILL SHORTEN"
"72",2013-10-07,"LOTO Change",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MR TONY ABBOTT","MR BILL SHORTEN"
"73",2013-10-06,"Morgan Multi",40,2,42,37,9,NA,NA,NA,NA,12,49.5,50.5,NA,NA,NA,NA,NA,NA,"MR TONY ABBOTT","MR CHRIS BOWEN A/g"
"74",2013-10-01,"Essential",40,3,43,36,9,NA,NA,NA,NA,12,52,48,NA,NA,NA,NA,NA,NA,"MR TONY ABBOTT","MR CHRIS BOWEN A/g"
"75",2013-09-24,"Essential",41,2,43,37,9,NA,NA,NA,NA,11,51,49,41,36,NA,NA,37,32,"MR TONY ABBOTT","MR CHRIS BOWEN A/g"
"76",2013-09-22,"Morgan Multi",41,2.5,43.5,34,10.5,NA,NA,NA,NA,12,50.5,49.5,NA,NA,NA,NA,NA,NA,"MR TONY ABBOTT","MR CHRIS BOWEN A/g"
"77",2013-09-16,"Essential",42,3,44,36,9,NA,NA,NA,NA,11,53,47,NA,NA,NA,NA,NA,NA,"MR TONY ABBOTT","MR CHRIS BOWEN A/g"
"78",2013-09-09,"Essential",41,3,45,35,9,NA,NA,NA,NA,12,53,47,NA,NA,NA,NA,NA,NA,"MR TONY ABBOTT","MR CHRIS BOWEN A/g"
"79",2013-09-07,"Election",41.3,4.3,45.6,33.4,8.6,NA,NA,NA,NA,12.4,53.4,46.6,NA,NA,NA,NA,NA,NA,"MR KEVIN RUDD","MR TONY ABBOTT"
"80",2013-09-06,"Morgan Multi",NA,NA,44,31.5,10.5,NA,NA,NA,NA,14,53.5,46.5,NA,NA,NA,NA,NA,NA,"MR KEVIN RUDD","MR TONY ABBOTT"
