,Poll End Date,Source,,Party,,NATIONAL,By State,NEW SOUTH WALES,VICTORIA,QUEENSLAND,SOUTH AUSTRALIA/NT,WESTERN AUSTRALIA,By Geographic,CAPITALS,OTHERS,By Gender,MALE,FEMALE,By Age Group (1),18-24 ,25-39,40-54,55+,By Age Group (2),18-34,35-49,50+,
43_ALP_JG_LNC_TA,16-Mar-13,Nielsen,,IND,,6,,6,4,6,9,4,,5,7,,6,5,,2,5,6,7,,,,,
43_ALP_JG_LNC_TA,16-Mar-13,Nielsen,,FFP,,2,,0.5,2,3,3,3,,2,2,,1,3,,4,3,2,1,,,,,
43_ALP_JG_LNC_TA,16-Mar-13,Nielsen,,COAL,,47,,49,45,47,46,48,,46,49,,48,46,,39,46,45,54,,,,,
43_ALP_JG_LNC_TA,16-Mar-13,Nielsen,,ALP,,31,,30,34,29,28,30,,31,29,,28,33,,30,27,32,33,,,,,
43_ALP_JG_LNC_TA,16-Mar-13,Nielsen,,GRN,,10,,9,11,10,8,12,,12,8,,12,9,,15,14,12,4,,,,,
43_ALP_JG_LNC_TA,16-Mar-13,Nielsen,,OTH,,4,,6,3,5,6,2,,4,5,,5,4,,10,5,3,2,,,,,
43_ALP_JG_LNC_TA,16-Feb-13,Nielsen,,IND,,6,,7,3,7,8,5,,4,9,,7,5,,3,7,6,6,,,,,
43_ALP_JG_LNC_TA,16-Feb-13,Nielsen,,FFP,,2,,1,3,4,3,3,,2,3,,2,3,,4,4,2,1,,,,,
43_ALP_JG_LNC_TA,16-Feb-13,Nielsen,,COAL,,47,,49,42,46,54,49,,48,45,,48,45,,35,43,46,55,,,,,
43_ALP_JG_LNC_TA,16-Feb-13,Nielsen,,ALP,,30,,26,37,27,23,32,,31,29,,30,30,,33,30,28,30,,,,,
43_ALP_JG_LNC_TA,16-Feb-13,Nielsen,,GRN,,11,,12,11,11,11,8,,11,11,,9,13,,18,12,12,6,,,,,
43_ALP_JG_LNC_TA,16-Feb-13,Nielsen,,OTH,,4,,5,4,5,2,3,,4,4,,4,4,,7,4,5,3,,,,,
43_ALP_JG_LNC_TA,31-Dec-12,Newspoll,,COAL,,43,,43,40,47,42,48,,43,45,,45,42,,,,,,,37,41,49,
43_ALP_JG_LNC_TA,31-Dec-12,Newspoll,,ALP,,35,,34,40,32,36,32,,36,33,,33,36,,,,,,,34,33,34,
43_ALP_JG_LNC_TA,31-Dec-12,Newspoll,,GRN,,11,,12,12,7,10,11,,12,8,,11,11,,,,,,,16,12,6,
43_ALP_JG_LNC_TA,31-Dec-12,Newspoll,,OTH,,11,,11,8,14,12,9,,9,14,,11,11,,,,,,,12,14,9,
43_ALP_JG_LNC_TA,15-Dec-12,Nielsen,,IND,,6,,6,5,7,6,3,,5,8,,5,7,,2,5,7,7,,,,,
43_ALP_JG_LNC_TA,15-Dec-12,Nielsen,,FFP,,2,,1,2,1,3,1,,1,2,,1,2,,5,2,1,0.5,,,,,
43_ALP_JG_LNC_TA,15-Dec-12,Nielsen,,COAL,,43,,41,41,46,47,49,,44,42,,47,40,,36,41,42,48,,,,,
43_ALP_JG_LNC_TA,15-Dec-12,Nielsen,,ALP,,35,,34,34,35,34,34,,34,36,,32,37,,33,34,35,35,,,,,
43_ALP_JG_LNC_TA,15-Dec-12,Nielsen,,GRN,,10,,13,12,6,8,11,,12,7,,9,11,,19,13,9,6,,,,,
43_ALP_JG_LNC_TA,15-Dec-12,Nielsen,,OTH,,4,,6,5,5,2,1,,4,5,,6,3,,5,4,6,3,,,,,
43_ALP_JG_LNC_TA,17-Nov-12,Nielsen,,IND,,5,,5,4,4,4,4,,4,6,,4,5,,4,5,6,4,,,,,
43_ALP_JG_LNC_TA,17-Nov-12,Nielsen,,FFP,,2,,2,3,3,5,0,,2,2,,2,3,,2,4,2,1,,,,,
43_ALP_JG_LNC_TA,17-Nov-12,Nielsen,,COAL,,45,,48,43,45,39,50,,44,45,,49,40,,30,40,41,57,,,,,
43_ALP_JG_LNC_TA,17-Nov-12,Nielsen,,ALP,,34,,32,34,33,38,30,,34,34,,31,36,,40,33,35,31,,,,,
43_ALP_JG_LNC_TA,17-Nov-12,Nielsen,,GRN,,12,,10,15,11,12,13,,13,11,,10,14,,23,15,13,5,,,,,
43_ALP_JG_LNC_TA,17-Nov-12,Nielsen,,OTH,,3,,3,2,3,1,4,,3,2,,3,2,,1,3,4,2,,,,,
43_ALP_JG_LNC_TA,20-Oct-12,Nielsen,,IND,,6,,7,5,5,5,6,,5,7,,7,5,,2,6,7,6,,,,,
43_ALP_JG_LNC_TA,20-Oct-12,Nielsen,,FFP,,2,,1,2,3,2,2,,2,3,,0.5,4,,2,3,3,0.5,,,,,
43_ALP_JG_LNC_TA,20-Oct-12,Nielsen,,COAL,,43,,44,38,48,40,48,,43,44,,44,42,,32,39,44,49,,,,,
43_ALP_JG_LNC_TA,20-Oct-12,Nielsen,,ALP,,34,,34,37,30,37,26,,34,33,,33,35,,33,31,32,38,,,,,
43_ALP_JG_LNC_TA,20-Oct-12,Nielsen,,GRN,,11,,10,13,7,13,13,,13,8,,12,10,,25,14,9,5,,,,,
43_ALP_JG_LNC_TA,20-Oct-12,Nielsen,,OTH,,4,,4,4,7,3,4,,4,5,,5,4,,6,6,5,2,,,,,
43_ALP_JG_LNC_TA,30-Sep-12,Newspoll,,COAL,,45,,47,41,47,42,51,,44,48,,48,43,,,,,,,38,44,51,
43_ALP_JG_LNC_TA,30-Sep-12,Newspoll,,ALP,,33,,31,37,30,33,30,,34,31,,31,34,,,,,,,33,30,34,
43_ALP_JG_LNC_TA,30-Sep-12,Newspoll,,GRN,,10,,10,12,9,11,11,,12,8,,9,12,,,,,,,16,13,5,
43_ALP_JG_LNC_TA,30-Sep-12,Newspoll,,OTH,,12,,12,10,14,14,8,,10,13,,12,11,,,,,,,13,13,10,
43_ALP_JG_LNC_TA,15-Sep-12,Nielsen,,IND,,5,,6,3,6,7,4,,4,7,,5,5,,3,5,4,6,,,,,
43_ALP_JG_LNC_TA,15-Sep-12,Nielsen,,FFP,,2,,0.5,2,2,3,2,,2,2,,1,2,,1,3,2,1,,,,,
43_ALP_JG_LNC_TA,15-Sep-12,Nielsen,,COAL,,45,,45,44,48,36,50,,43,47,,47,42,,38,44,41,52,,,,,
43_ALP_JG_LNC_TA,15-Sep-12,Nielsen,,ALP,,34,,35,34,30,39,34,,36,31,,32,37,,33,30,42,32,,,,,
43_ALP_JG_LNC_TA,15-Sep-12,Nielsen,,GRN,,10,,9,12,9,12,9,,11,9,,9,11,,20,12,10,5,,,,,
43_ALP_JG_LNC_TA,15-Sep-12,Nielsen,,OTH,,4,,4,5,5,3,1,,4,4,,5,3,,4,6,2,4,,,,,
43_ALP_JG_LNC_TA,25-Aug-12,Nielsen,,IND,,6,,7,4,7,6,5,,5,7,,6,6,,3,6,6,6,,,,,
43_ALP_JG_LNC_TA,25-Aug-12,Nielsen,,FFP,,2,,2,3,2,2,1,,2,2,,2,2,,3,3,1,1,,,,,
43_ALP_JG_LNC_TA,25-Aug-12,Nielsen,,COAL,,45,,45,41,49,44,48,,43,47,,48,42,,39,38,44,53,,,,,
43_ALP_JG_LNC_TA,25-Aug-12,Nielsen,,ALP,,32,,30,35,28,31,36,,34,29,,30,34,,33,31,34,31,,,,,
43_ALP_JG_LNC_TA,25-Aug-12,Nielsen,,GRN,,11,,10,13,9,15,9,,12,10,,11,11,,21,14,9,7,,,,,
43_ALP_JG_LNC_TA,25-Aug-12,Nielsen,,OTH,,5,,5,5,5,3,1,,5,4,,5,4,,2,8,5,2,,,,,
43_ALP_JG_LNC_TA,28-Jul-12,Nielsen,,IND,,5,,5,3,7,9,5,,4,7,,5,5,,5,5,6,4,,,,,
43_ALP_JG_LNC_TA,28-Jul-12,Nielsen,,FFP,,2,,1,3,1,3,3,,1,3,,1,2,,3,2,3,1,,,,,
43_ALP_JG_LNC_TA,28-Jul-12,Nielsen,,COAL,,47,,45,45,53,40,56,,46,49,,50,44,,39,45,51,49,,,,,
43_ALP_JG_LNC_TA,28-Jul-12,Nielsen,,ALP,,30,,30,34,26,30,25,,32,27,,29,32,,28,26,27,37,,,,,
43_ALP_JG_LNC_TA,28-Jul-12,Nielsen,,GRN,,12,,14,13,8,13,6,,12,11,,10,14,,20,17,9,7,,,,,
43_ALP_JG_LNC_TA,28-Jul-12,Nielsen,,OTH,,4,,4,2,5,5,5,,4,3,,4,3,,5,5,5,2,,,,,
43_ALP_JG_LNC_TA,30-Jun-12,Nielsen,,IND,,5,,5,5,6,8,5,,5,6,,6,5,,5,4,6,6,,,,,
43_ALP_JG_LNC_TA,30-Jun-12,Nielsen,,FFP,,2,,2,3,3,2,2,,2,3,,1,3,,4,3,2,1,,,,,
43_ALP_JG_LNC_TA,30-Jun-12,Nielsen,,COAL,,48,,51,44,56,37,49,,48,50,,50,47,,32,48,51,53,,,,,
43_ALP_JG_LNC_TA,30-Jun-12,Newspoll,,COAL,,47,,47,42,54,45,48,,46,49,,49,44,,,,,,,41,46,51,
43_ALP_JG_LNC_TA,30-Jun-12,Nielsen,,ALP,,28,,26,30,22,34,28,,28,27,,28,28,,28,26,26,31,,,,,
43_ALP_JG_LNC_TA,30-Jun-12,Nielsen,,GRN,,12,,12,12,9,16,9,,13,9,,10,14,,23,13,11,7,,,,,
43_ALP_JG_LNC_TA,30-Jun-12,Nielsen,,OTH,,4,,4,5,3,3,7,,4,5,,6,3,,7,6,4,2,,,,,
43_ALP_JG_LNC_TA,30-Jun-12,Newspoll,,ALP,,30,,29,34,22,33,32,,30,28,,28,31,,,,,,,30,28,31,
43_ALP_JG_LNC_TA,30-Jun-12,Newspoll,,GRN,,12,,12,15,11,10,11,,14,10,,11,14,,,,,,,17,13,8,
43_ALP_JG_LNC_TA,30-Jun-12,Newspoll,,OTH,,11,,12,9,13,12,9,,10,13,,12,11,,,,,,,12,13,10,
43_ALP_JG_LNC_TA,02-Jun-12,Nielsen,,IND,,6,,7,5,6,5,5,,5,8,,4,8,,2,7,8,6,,,,,
43_ALP_JG_LNC_TA,02-Jun-12,Nielsen,,FFP,,2,,1,2,2,5,4,,2,1,,2,2,,5,2,3,1,,,,,
43_ALP_JG_LNC_TA,02-Jun-12,Nielsen,,COAL,,48,,49,41,54,49,51,,47,48,,50,46,,39,48,50,53,,,,,
43_ALP_JG_LNC_TA,02-Jun-12,Nielsen,,ALP,,26,,25,31,24,32,19,,27,26,,27,26,,28,23,25,30,,,,,
43_ALP_JG_LNC_TA,02-Jun-12,Nielsen,,GRN,,14,,14,16,11,9,16,,15,12,,13,15,,23,16,16,7,,,,,
43_ALP_JG_LNC_TA,02-Jun-12,Nielsen,,OTH,,4,,4,4,3,0,6,,3,4,,5,3,,4,5,4,4,,,,,
43_ALP_JG_LNC_TA,31-Mar-12,Nielsen,,IND,,6,,8,6,7,3,3,,6,8,,8,5,,6,7,7,5,,,,,
43_ALP_JG_LNC_TA,31-Mar-12,Nielsen,,FFP,,2,,1,2,3,4,3,,2,2,,3,2,,4,4,1,1,,,,,
43_ALP_JG_LNC_TA,31-Mar-12,Nielsen,,COAL,,47,,49,40,53,43,53,,45,50,,50,45,,36,42,45,58,,,,,
43_ALP_JG_LNC_TA,31-Mar-12,Newspoll,,COAL,,45,,45,44,47,39,48,,44,46,,46,43,,,,,,,37,45,50,
43_ALP_JG_LNC_TA,31-Mar-12,Nielsen,,ALP,,27,,26,32,22,35,25,,30,23,,24,31,,29,27,28,27,,,,,
43_ALP_JG_LNC_TA,31-Mar-12,Nielsen,,GRN,,13,,12,16,10,12,14,,13,12,,12,14,,18,14,15,8,,,,,
43_ALP_JG_LNC_TA,31-Mar-12,Nielsen,,OTH,,4,,4,4,5,3,3,,4,5,,4,4,,7,5,5,1,,,,,
43_ALP_JG_LNC_TA,31-Mar-12,Newspoll,,ALP,,32,,31,34,30,34,31,,32,32,,30,34,,,,,,,33,31,32,
43_ALP_JG_LNC_TA,31-Mar-12,Newspoll,,GRN,,11,,11,13,9,11,10,,13,9,,11,12,,,,,,,17,13,6,
43_ALP_JG_LNC_TA,31-Mar-12,Newspoll,,OTH,,12,,13,9,14,16,11,,11,13,,13,11,,,,,,,13,11,12,
43_ALP_JG_LNC_TA,23-Feb-12,Nielsen,,IND,,6,,7,4,9,6,4,,4,8,,7,5,,6,5,7,6,,,,,
43_ALP_JG_LNC_TA,23-Feb-12,Nielsen,,FFP,,2,,1,3,3,4,1,,1,3,,1,2,,3,2,3,1,,,,,
43_ALP_JG_LNC_TA,23-Feb-12,Nielsen,,COAL,,44,,42,45,42,48,51,,45,43,,44,44,,30,42,45,51,,,,,
43_ALP_JG_LNC_TA,23-Feb-12,Nielsen,,OTH,,3,,3,2,5,2,1,,2,3,,2,3,,3,3,3,2,,,,,
43_ALP_JG_LNC_TA,23-Feb-12,Nielsen,,ALP,,34,,35,31,31,34,34,,34,32,,33,34,,40,32,31,34,,,,,
43_ALP_JG_LNC_TA,23-Feb-12,Nielsen,,GRN,,12,,13,15,11,7,7,,13,10,,12,12,,19,16,11,6,,,,,
43_ALP_JG_LNC_TA,02-Feb-12,Nielsen,,IND,,5,,8,3,6,3,3,,4,7,,5,5,,2,6,5,6,,,,,
43_ALP_JG_LNC_TA,02-Feb-12,Nielsen,,FFP,,1,,1,1,2,1,3,,2,1,,1,1,,1,2,1,1,,,,,
43_ALP_JG_LNC_TA,02-Feb-12,Nielsen,,COAL,,45,,46,39,50,44,50,,44,46,,45,45,,40,39,46,50,,,,,
43_ALP_JG_LNC_TA,02-Feb-12,Nielsen,,OTH,,3,,2,2,3,6,3,,2,3,,3,2,,1,4,3,1,,,,,
43_ALP_JG_LNC_TA,02-Feb-12,Nielsen,,ALP,,33,,33,37,27,34,31,,34,31,,32,34,,37,29,35,33,,,,,
43_ALP_JG_LNC_TA,02-Feb-12,Nielsen,,GRN,,13,,11,18,12,12,11,,14,12,,13,13,,19,19,10,9,,,,,
43_ALP_JG_LNC_TA,31-Dec-11,Newspoll,,COAL,,46,,48,44,48,40,49,,46,47,,49,43,,,,,,,41,43,52,
43_ALP_JG_LNC_TA,31-Dec-11,Newspoll,,OTH,,11,,11,8,14,16,9,,10,14,,12,11,,,,,,,10,13,11,
